/Users/sucharith/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
Starting 48143 URLs -> production_run/output/full_validated.csv, production_run/output/full_unresolved.csv
[progress] 391/48143 (0.8%) validated=295 unresolved=96 rate=32.4/min eta=88295s
[progress] 396/48143 (0.8%) validated=298 unresolved=98 rate=32.4/min eta=88427s
[progress] 400/48143 (0.8%) validated=299 unresolved=101 rate=32.4/min eta=88443s
[progress] 405/48143 (0.8%) validated=301 unresolved=104 rate=32.3/min eta=88773s
[progress] 412/48143 (0.9%) validated=304 unresolved=108 rate=32.3/min eta=88627s
[progress] 418/48143 (0.9%) validated=304 unresolved=114 rate=32.3/min eta=88712s
[progress] 423/48143 (0.9%) validated=304 unresolved=119 rate=32.2/min eta=88787s
[progress] 425/48143 (0.9%) validated=305 unresolved=120 rate=32.2/min eta=88858s
[progress] 431/48143 (0.9%) validated=308 unresolved=123 rate=32.2/min eta=88893s
[progress] 436/48143 (0.9%) validated=308 unresolved=128 rate=32.2/min eta=88961s
[progress] 441/48143 (0.9%) validated=310 unresolved=131 rate=32.1/min eta=89124s
[progress] 447/48143 (0.9%) validated=312 unresolved=135 rate=32.1/min eta=89099s
[progress] 450/48143 (0.9%) validated=312 unresolved=138 rate=32.1/min eta=89135s
[progress] 453/48143 (0.9%) validated=313 unresolved=140 rate=31.9/min eta=89667s
[progress] 461/48143 (1.0%) validated=316 unresolved=145 rate=32.0/min eta=89268s
[progress] 465/48143 (1.0%) validated=317 unresolved=148 rate=31.9/min eta=89542s
[progress] 472/48143 (1.0%) validated=323 unresolved=149 rate=31.9/min eta=89575s
[progress] 475/48143 (1.0%) validated=324 unresolved=151 rate=32.0/min eta=89396s
[progress] 480/48143 (1.0%) validated=325 unresolved=155 rate=32.0/min eta=89450s
